word;template;stress.pattern;DoubleC;AmbC;proper_name;cat_v1;cat_v2;cat_v3;cat_v4;exclusion motivation
tamburine;CVC.CV.CV.CV;wwSw;no;no;no;a1-unstressed;u;;;
tandarts;CVCC.CVCCC;Sw;no;yes;no;a1-stressed;A;;;exclude
tango;;Sw;no;;;a1-stressed;o;;;
tapetteer;CV.CVC.CV.CVC;wwSw;no;;no;aa1-unstressed;E;;;
tapijt;CV.CVC;wS;no;;no;aa1-unstressed;ei;;;
tartaar;;wS;no;;;a1-unstressed;a;;;
traktatie;;wSw;no;;;a1-unstressed;a;;;
transfer;;Sw;no;;;a1-stressed;@;;;
transformatie;;wwSw;no;;;a1-unstressed;O;;;
transistor;;wSw;no;;;a1-unstressed;I;;;
transitie;;wSw;no;;;a1-unstressed;i;;;
transport;;wS;no;;;a1-unstressed;O;;;
vacature;CV.CV.CV.CV;wwSw;no;;no;aa1-unstressed;A;;;
vaccinatie;;wwSw;no;;;a1-unstressed;i;;;
vagina;CV.CV.CV;Sww;no;;no;aa1-stressed;i;aa3-unstressed;;
vaginaal;CV.CV.CVC;wwS;no;;no;aa1-unstressed;i;;;
vakantie;CV.CVC.CV;wSw;no;;no;aa1-unstressed;A;;;
valium;CV.CV.CV.;Sww;no;;no;aa1-stressed;i;;;
vampier;;wS;no;;;a1-unstressed;i;;;
vandaal;;wS;no;;;a1-unstressed;a;;;
vandalisme;;wwSw;no;;;a1-unstressed;a;;;
vannacht;CV.CCVCC;wS;yes;;no;a1-unstressed;o;;;
variatie;CV.CV.CV.CV;wwSw;no;;no;aa1-unstressed;i;;;
Vaticaan;CV.CV.CVC;wwS;no;;yes;aa1-unstressed;i;;;
walnoot;;Sw;no;;;a1-stressed;o;;;
walvis;;Sw;no;;;a1-stressed;I;;;
wandeling;CVC.CV.CVC;Sww;no;;no;a1-stressed;@;;;
wanhoop;CVC.CVC;Sw;no;;;a1-stressed;o;;;
wanhopig;;wSw;no;;;a1-unstressed;o;;;
Zalando;CV.CVC.CV;wSw;no;;yes;aa1-unstressed;A;;;
Zambia;;Sww;no;;yes;a1-stressed;i;;;
zaterdag;CV.CVC.CVC;Sww;no;;no;aa1-stressed;@;a3-unstressed;;
tractie;;Sw;no;;no;a1-stressed;i;;;
fractie;;Sw;no;;no;a1-stressed;i;;;
anti;;Sw;no;;no;a1-stressed;i;;;
Rambo;;Sw;no;;yes;a1-stressed;o;;;
gallo;;Sw;yes;;no;a1-stressed;o;;;
Gallisch;;Sw;yes;;yes;a1-stressed;I;;;
